Symmetry,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.8776859504132234,SUCCESS,0.009478712775296634,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482463.359,
0.8736772486772487,FAILURE,0.03481790502224084,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CLOSE,1785492915.232,
0.87266530334015,SUCCESS,0.02340218655072774,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,FAR,1785464276.079,
0.8726264726264726,FAILURE,0.02019785898127244,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,FAR,1785494239.869,
0.8724183006535949,SUCCESS,0.01397839878803254,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785478016.551,
0.8707298720842741,SUCCESS,0.016209868900401072,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546347.601,
0.8690780141843972,FAILURE,0.024408795689925884,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785478276.647,
0.8686383240911891,FAILURE,0.028694147897298065,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CENTER,1785479732.164,
0.8675276752767527,SUCCESS,0.0037113913976438207,ASYM_RECT,SMALL,RIGID,FREE,FRONT,FAR,1785484864.536,
0.8669710806697108,FAILURE,0.024116954286563422,ASYM_RECT,LARGE,RIGID,FREE,FRONT,CLOSE,1785498080.378,
0.8660516605166052,SUCCESS,0.0314944258429039,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785478183.786,
0.8627878787878789,FAILURE,0.028130988571112406,ASYM_RECT,LARGE,RIGID,STRING,FRONT,CENTER,1785500123.057,
0.8618867924528303,FAILURE,0.03387062103708434,ASYM_RECT,SMALL,RIGID,STRING,FRONT,FAR,1785484708.576,
0.8593423019431987,FAILURE,0.01993207478544495,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499888.396,
0.85893536121673,SUCCESS,0.02052133970981445,CYLINDER,SMALL,RIGID,STRING,FRONT,CLOSE,1785465605.520,
0.8570432357043236,SUCCESS,0.027528199458713477,CYLINDER,SMALL,RIGID,FREE,FRONT,CENTER,1785463047.488,
0.8569811320754718,SUCCESS,0.023632673927046995,CYLINDER,LARGE,RIGID,STRING,FRONT,FAR,1785487581.183,
0.856885456885457,SUCCESS,0.015667076252616895,ASYM_RECT,SMALL,RIGID,FREE,FRONT,FAR,1785484805.148,
0.8567287784679091,SUCCESS,0.009812202392793517,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,FAR,1785463683.217,
0.856026936026936,SUCCESS,0.013595568353698647,CYLINDER,SMALL,RIGID,FREE,FRONT,FAR,1785463359.255,
0.8549019607843139,SUCCESS,0.01735752799778716,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546287.405,
0.8545698924731185,SUCCESS,0.017463107732967154,CYLINDER,LARGE,RIGID,FREE,FRONT,FAR,1785487336.589,
0.854449472096531,SUCCESS,0.00850566657537012,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,FAR,1785499092.503,
0.8541666666666669,FAILURE,0.021025196112452946,PLANE,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785544876.391,
0.8515151515151517,SUCCESS,0.014589970235204697,CYLINDER,LARGE,RIGID,FREE,FRONT,CENTER,1785490227.024,
0.8511340206185567,FAILURE,0.045930578544976675,CYLINDER,LARGE,RIGID,STRING,FRONT,CLOSE,1785486560.785,
0.8509473684210527,SUCCESS,0.022190303898361102,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785488125.271,
