Sym_Act_Bot,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.04130273095343964,FAILURE,0.011046609227208615,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CLOSE,1785492915.232,
0.033378720219515705,FAILURE,0.009330356025748861,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CLOSE,1785492504.044,
0.034193823550514126,FAILURE,0.008758726901997697,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491774.820,
0.0400571382838313,FAILURE,0.008512335322595542,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CLOSE,1785492574.761,
0.033123509427104944,FAILURE,0.008272240491516926,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,FAR,1785487724.035,
0.035224452986393366,FAILURE,0.007757729943254419,ASYM_RECT,SMALL,RIGID,FREE,FRONT,CLOSE,1785483164.941,
0.02601187449489017,FAILURE,0.007717615667391191,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491682.577,
0.04237741315352367,FAILURE,0.007523152973030424,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785483904.923,
0.0412181045477835,FAILURE,0.0074835252702588825,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785492403.413,
0.01847608720395199,FAILURE,0.007431851765265363,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785460444.250,
0.028971623645364396,FAILURE,0.007137823469664718,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,FAR,1785464171.358,
0.02888292397770259,FAILURE,0.0070836228009963295,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785478083.962,
0.03179440843411887,FAILURE,0.006776080383026781,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,FAR,1785499147.169,
0.02777877244434147,FAILURE,0.006556532594992863,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546845.047,
0.02479431617699949,SUCCESS,0.006460025932112592,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,FAR,1785480674.488,
0.021551041188603674,FAILURE,0.006448317888396289,PLANE,LARGE,COMPLIANT,STRING,FRONT,FAR,1785547093.071,
0.03018479772909375,FAILURE,0.00622763948033078,TRI_PRISM,LARGE,RIGID,FREE,TOP,CENTER,1785493430.237,
0.027423990103888584,FAILURE,0.006146643200118741,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499595.685,
0.0406364300682805,SUCCESS,0.005777339411766538,CYLINDER,SMALL,RIGID,FREE,FRONT,FAR,1785463421.686,
0.023591087997349432,FAILURE,0.005581627450765473,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CLOSE,1785492700.616,
0.025951034047736663,FAILURE,0.005562996321361915,CYLINDER,LARGE,RIGID,FREE,FRONT,CLOSE,1785486792.118,
0.022159606991945253,FAILURE,0.005469698843104998,TRI_PRISM,LARGE,RIGID,FREE,TOP,CENTER,1785493370.414,
0.020193623298512237,FAILURE,0.004931398323386614,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,FAR,1785494099.638,
0.02184995753245908,FAILURE,0.004892593905903399,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491873.864,
0.021900326953332484,FAILURE,0.004882220858146788,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499381.803,
0.02054070732037357,FAILURE,0.004750486128532182,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499441.484,
0.026415441004870376,FAILURE,0.00453978200676561,ASYM_RECT,LARGE,RIGID,FREE,FRONT,CLOSE,1785498080.378,
0.020065267383018198,FAILURE,0.0040450981422620646,CYLINDER,LARGE,RIGID,FREE,FRONT,FAR,1785487405.100,
0.01959101493857864,FAILURE,0.003929737956512874,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,FAR,1785487916.925,
0.01628993598009929,FAILURE,0.0036236437704629796,ASYM_RECT,LARGE,RIGID,FREE,FRONT,CLOSE,1785498142.175,
0.018436695832077712,FAILURE,0.0033705765089064497,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482632.028,
0.011596035130215981,FAILURE,0.00325701601164119,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CENTER,1785479076.667,
0.012440950461919857,FAILURE,0.003194497896008956,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,FAR,1785463890.037,
0.010964743348337247,FAILURE,0.003060499397359515,CYLINDER,SMALL,RIGID,FREE,FRONT,CENTER,1785463108.073,
0.008073290568469952,FAILURE,0.0030435093360185014,CYLINDER,SMALL,RIGID,FREE,FRONT,FAR,1785463479.355,
0.009110241676009248,FAILURE,0.0028409919519706782,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785488248.623,
0.0056513264870260505,FAILURE,0.0025363356391909088,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785460872.890,
0.004467313138921185,FAILURE,0.0025352031928804757,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785455567.440,
0.009448363374105586,FAILURE,0.002511222759298308,ASYM_RECT,SMALL,RIGID,FREE,FRONT,CENTER,1785483506.480,
0.00946542397723002,FAILURE,0.0023689501556330038,TRI_PRISM,SMALL,RIGID,FREE,FRONT,FAR,1785481339.344,
0.009038878925398766,FAILURE,0.002310614576674795,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,FAR,1785480487.290,
0.00686636369860296,FAILURE,0.0022931094869308158,ASYM_RECT,SMALL,RIGID,FREE,FRONT,FAR,1785484919.601,
0.0059146556377760425,FAILURE,0.0021414323482835734,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,FAR,1785484412.255,
0.0069247714738426445,FAILURE,0.0020334306537543186,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546674.013,
0.013311843141536819,SUCCESS,0.0015089866322083973,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,FAR,1785480549.132,
0.004897399553553965,FAILURE,0.0014937068174376016,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546570.029,
0.0038205200851283106,FAILURE,0.0014465281612287611,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CLOSE,1785478768.122,
0.005429174389789495,SUCCESS,0.0013864427754364018,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785480164.369,
0.004283639566487719,FAILURE,0.001385442468488594,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785488180.134,
0.0037975771442851974,FAILURE,0.0012051337566021689,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785480227.526,
0.003048138576302268,FAILURE,0.0011441681742105718,CYLINDER,LARGE,RIGID,FREE,FRONT,CENTER,1785490294.725,
0.002350314654271629,FAILURE,0.0010715469888469378,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,FAR,1785498891.028,
0.002282980858643083,FAILURE,0.0008956329760974828,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546407.322,
0.0015756080688656728,FAILURE,0.0006989291833538803,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785460296.494,
0.0011337718079397923,FAILURE,0.0005172441195000841,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785477580.079,
0.0010122565835519552,FAILURE,0.00032185460641766657,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785484084.958,
