Sym_Act_Mid,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.13438267499973558,SUCCESS,0.03474143471254824,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,FAR,1785464391.102,
0.14212728496164043,SUCCESS,0.01704231716242296,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CENTER,1785479672.902,
0.14275195667166918,SUCCESS,0.016867264418166054,ASYM_RECT,SMALL,RIGID,STRING,FRONT,CLOSE,1785482924.083,
0.16055612860154025,SUCCESS,0.016443946182661522,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,CENTER,1785488318.181,
0.15099153538335722,SUCCESS,0.01376860858122678,ASYM_RECT,SMALL,RIGID,STRING,FRONT,FAR,1785484648.276,
0.17586093145881324,SUCCESS,0.013640172708940914,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,FAR,1785484563.244,
0.1425177899461732,SUCCESS,0.013602459006783897,CYLINDER,LARGE,RIGID,STRING,FRONT,CLOSE,1785486635.899,
0.16148488377544729,SUCCESS,0.012485388932518686,PLANE,SMALL,COMPLIANT,FREE,FRONT,FAR,1785545576.644,
0.1751322029822145,SUCCESS,0.011227518146716001,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,FAR,1785498950.251,
0.1508143507758262,SUCCESS,0.010844419018247847,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785465197.868,
0.15970220022890033,SUCCESS,0.01053765041909743,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785493820.692,
0.16406029841458358,SUCCESS,0.010426399657933528,CYLINDER,SMALL,RIGID,STRING,FRONT,CLOSE,1785465605.520,
0.1323351239365434,SUCCESS,0.010100941412469996,CYLINDER,LARGE,RIGID,STRING,FRONT,FAR,1785487581.183,
0.1639500949398565,SUCCESS,0.009888446337334229,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CLOSE,1785478508.266,
0.13646108393766412,SUCCESS,0.009798148710668891,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499501.442,
0.18100922970601685,SUCCESS,0.00973439225013786,PLANE,SMALL,COMPLIANT,STRING,FRONT,FAR,1785545746.653,
0.1391512752218382,SUCCESS,0.009468971783010528,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785481010.761,
0.16267634012558985,SUCCESS,0.009085231306529398,PLANE,SMALL,RIGID,STRING,FRONT,FAR,1785545947.362,
0.17596315320345465,SUCCESS,0.008307982033954551,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CLOSE,1785478629.076,
0.1489654079392061,SUCCESS,0.008033699554393583,CYLINDER,LARGE,RIGID,FREE,FRONT,CLOSE,1785486735.586,
0.1332548528610198,SUCCESS,0.007906197365572978,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482240.241,
0.15244443237826308,SUCCESS,0.007081237994487204,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785459737.963,
0.164339302248945,SUCCESS,0.006599046245781493,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CENTER,1785478889.442,
0.17417164240621238,SUCCESS,0.006564950363727002,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785456365.349,
0.15630649735020483,SUCCESS,0.006333779745077302,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546287.405,
0.15247629251703365,SUCCESS,0.005947183671397681,CYLINDER,SMALL,RIGID,FREE,FRONT,FAR,1785463359.255,
0.13560868027114442,SUCCESS,0.005901084250614495,ASYM_RECT,SMALL,RIGID,FREE,FRONT,CLOSE,1785483108.376,
0.16575819702767094,SUCCESS,0.005196889329105531,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,FAR,1785463622.355,
0.16890106271345337,SUCCESS,0.004888818781997876,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785478016.551,
0.14201111626092233,SUCCESS,0.004648431666374536,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785461023.151,
0.1381282576251102,SUCCESS,0.004602589363393345,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,FAR,1785484351.234,
0.1547096802436204,SUCCESS,0.004208963295646134,PLANE,SMALL,COMPLIANT,FREE,FRONT,FAR,1785545690.683,
0.17167912175501687,SUCCESS,0.003924102183021548,PLANE,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785544741.595,
0.17004531985259633,SUCCESS,0.0031041729541950868,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546235.909,
