Sym_Act_Top,Outcome,Instability_Top,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.23006590086884707,SUCCESS,0.02176741250804036,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785481068.977,
0.22291979198771839,SUCCESS,0.021328827313225947,CYLINDER,SMALL,RIGID,STRING,FRONT,CENTER,1785464677.696,
0.22981884359020005,SUCCESS,0.0167403208455248,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785478183.786,
0.2853115784075952,SUCCESS,0.01655793431886257,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785465401.070,
0.21355871257019918,SUCCESS,0.01646186887385687,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785455211.938,
0.3045707074536284,SUCCESS,0.01586833338851641,PLANE,SMALL,RIGID,FREE,FRONT,CENTER,1785545281.667,
0.26151518769750076,SUCCESS,0.013579497935527833,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491952.933,
0.2111134192111324,SUCCESS,0.013242534316603887,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785460763.094,
0.24345435835258095,SUCCESS,0.011148347735001991,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785486157.481,
0.21144663865490063,SUCCESS,0.009002231347220377,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546890.862,
0.22366244945610964,SUCCESS,0.008852538693208265,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785486247.689,
