Sym_Act_Bot,Outcome,Instability_Bot,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.1091638494478251,SUCCESS,0.006221487003460413,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785461284.810,
0.08157511913719588,SUCCESS,0.006181082675339947,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546347.601,
0.10330259112867808,SUCCESS,0.005559546283315972,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,FAR,1785487852.085,
0.12298584298584297,SUCCESS,0.005350124475240354,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785484006.104,
0.08981412639405205,SUCCESS,0.004105320419818698,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785479985.969,
0.07285024154589373,SUCCESS,0.004015601506780856,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785480104.935,
0.0813223140495868,SUCCESS,0.003112801843519588,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482463.359,
0.12151701517015166,SUCCESS,0.0030098667707108176,ASYM_RECT,SMALL,RIGID,FREE,FRONT,FAR,1785484864.536,
0.006259901520017127,SUCCESS,0.002452754074637164,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785480164.369,
0.020558092338914254,SUCCESS,0.0020347821910190697,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,FAR,1785480549.132,
