Sym_Act_Top,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.12202502844141071,FAILURE,0.02282094267523914,CYLINDER,SMALL,RIGID,STRING,FRONT,CLOSE,1785465679.424,
0.0936265750286369,FAILURE,0.02148055163001957,CYLINDER,LARGE,RIGID,STRING,FRONT,CLOSE,1785486560.785,
0.11162581699346402,FAILURE,0.02097236253451418,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785465511.231,
0.15867158671586715,FAILURE,0.01996874736061255,PLANE,SMALL,RIGID,STRING,FRONT,CENTER,1785545093.002,
0.12360289283366205,FAILURE,0.019858596461568175,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,CENTER,1785493954.185,
0.0947450067868916,FAILURE,0.01955351019183416,CYLINDER,SMALL,RIGID,STRING,FRONT,CENTER,1785464983.663,
0.1384586288416076,FAILURE,0.018583799856137378,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785478276.647,
0.09745911949685532,FAILURE,0.0181344487926655,ASYM_RECT,SMALL,RIGID,STRING,FRONT,FAR,1785484708.576,
0.10006088280060882,FAILURE,0.016175116222968786,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785465281.204,
0.09486988847583643,FAILURE,0.01605341233448771,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785482697.043,
0.0942008032128514,FAILURE,0.015889965100428432,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785497697.817,
0.10782166782166784,FAILURE,0.015555487020654249,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,FAR,1785494239.869,
0.1338107638888889,FAILURE,0.01399368649812456,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785497817.790,
0.10222222222222223,FAILURE,0.013851114216932126,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785486467.479,
0.21469952442715085,FAILURE,0.013839807833660775,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546945.516,
0.10020585906571655,FAILURE,0.01359652848718466,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785492148.625,
0.08992617830777966,FAILURE,0.013490947828942439,ASYM_RECT,SMALL,RIGID,STRING,FRONT,CLOSE,1785483022.083,
0.10534296028880866,FAILURE,0.012338545378179699,CYLINDER,SMALL,RIGID,STRING,FRONT,FAR,1785464588.622,
0.10009378185524975,FAILURE,0.011752331893619511,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785465120.639,
0.1308157236991593,FAILURE,0.011501277286432948,PLANE,SMALL,RIGID,STRING,FRONT,CENTER,1785545165.805,
0.1705501195912154,FAILURE,0.011176179929999008,PLANE,SMALL,RIGID,STRING,FRONT,FAR,1785545895.441,
0.14724214254094734,FAILURE,0.011079269348427657,PLANE,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785545006.284,
0.08954448701575139,FAILURE,0.010618163473670995,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CLOSE,1785478417.302,
0.0964501113134993,FAILURE,0.009888213992682665,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785482766.558,
0.17627240143369174,FAILURE,0.009735664597575272,PLANE,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785544876.391,
0.1781734006734007,FAILURE,0.009189544698604286,PLANE,LARGE,COMPLIANT,STRING,FRONT,FAR,1785547141.752,
0.14031604938271602,FAILURE,0.0091659631073532,PLANE,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785544955.614,
0.08839118096485482,FAILURE,0.008608025990915699,ASYM_RECT,LARGE,RIGID,STRING,FRONT,FAR,1785498739.662,
0.16007518796992476,FAILURE,0.008364983321774377,PLANE,SMALL,COMPLIANT,STRING,FRONT,FAR,1785545804.838,
0.11416610999777331,FAILURE,0.007916994901771094,ASYM_RECT,LARGE,RIGID,STRING,FRONT,CENTER,1785500782.819,
0.17091747349008754,FAILURE,0.006680397458216946,PLANE,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785545422.146,
0.19867505241090144,FAILURE,0.0054167407578246275,PLANE,SMALL,RIGID,FREE,FRONT,CENTER,1785545334.969,
