Sym_Act_Mid,Outcome,Instability_Mid,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.15970220022890033,SUCCESS,0.01053765041909743,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785493820.692,
0.16406029841458358,SUCCESS,0.010426399657933528,CYLINDER,SMALL,RIGID,STRING,FRONT,CLOSE,1785465605.520,
0.1323351239365434,SUCCESS,0.010100941412469996,CYLINDER,LARGE,RIGID,STRING,FRONT,FAR,1785487581.183,
0.1639500949398565,SUCCESS,0.009888446337334229,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CLOSE,1785478508.266,
0.13646108393766412,SUCCESS,0.009798148710668891,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499501.442,
0.18100922970601685,SUCCESS,0.00973439225013786,PLANE,SMALL,COMPLIANT,STRING,FRONT,FAR,1785545746.653,
0.1391512752218382,SUCCESS,0.009468971783010528,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785481010.761,
0.16267634012558985,SUCCESS,0.009085231306529398,PLANE,SMALL,RIGID,STRING,FRONT,FAR,1785545947.362,
0.17596315320345465,SUCCESS,0.008307982033954551,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CLOSE,1785478629.076,
0.1489654079392061,SUCCESS,0.008033699554393583,CYLINDER,LARGE,RIGID,FREE,FRONT,CLOSE,1785486735.586,
0.1332548528610198,SUCCESS,0.007906197365572978,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482240.241,
